club_id,name,domestic_competition_id,stadium_name,net_transfer_record,last_season
36,Fenerbahce,TR1,Ülker Stadyumu FB Şükrü Saraçoğlu Spor Kompleksi,€-1.66m,2023
583,Paris Saint-Germain,FR1,Parc des Princes,€-178.00m,2023
621,Athletic Bilbao,ES1,San Mamés,+-0,2023
65,SpVgg Greuther Fürth,L1,Sportpark Ronhof | Thomas Sommer,+€3.97m,2021
6646,Fatih Karagümrük,TR1,Atatürk Olimpiyat,+€450k,2023
855,EA Guingamp,FR1,Stade du Roudourou,+€3.70m,2018
924,Istanbulspor,TR1,Esenyurt Necmi Kadıoğlu Stadyumu,€-400k,2023
985,Manchester United,GB1,Old Trafford,€-158.86m,2023
11282,Alanyaspor,TR1,Kırbıyık Holding Stadyumu,€-600k,2023
1132,Burnley FC,GB1,Turf Moor,€-87.80m,2023
150,Real Betis Balompié,ES1,Benito Villamarín,+€25.00m,2023
152,Samsunspor,TR1,Samsun Yeni 19 Mayıs Stadyumu,€-200k,2023
3368,Levante UD,ES1,Ciutat de València,+€7.80m,2021
506,Juventus FC,IT1,Allianz Stadium,€-21.60m,2023
618,AS Saint-Étienne,FR1,Stade Geoffroy-Guichard,+€12.85m,2021
820,Genclerbirligi Ankara,TR1,Eryaman Stadyumu,+€195k,2020
1095,ESTAC Troyes,FR1,Stade de l'Aube,+-0,2022
1420,Angers SCO,FR1,Stade Raymond Kopa,+€3.50m,2022
23826,RB Leipzig,L1,Red Bull Arena,+€89.20m,2023
24245,Ümraniyespor,TR1,Ümraniye Belediyesi Şehir Stadı,+-0,2022
2687,Cádiz CF,ES1,Nuevo Mirandilla,+€3.50m,2023
2919,AC Monza,IT1,U-Power Stadium - Brianteo,€-41.00m,2023
3209,Pendikspor,TR1,Pendik Stadı,+-0,2023
3524,Clermont Foot 63,FR1,Stade Gabriel-Montpied,€-6.60m,2023
398,SS Lazio,IT1,Olimpico di Roma,+€10.04m,2023
4171,Benevento Calcio,IT1,Ciro Vigorito,€-1.93m,2020
418,Real Madrid,ES1,Santiago Bernabéu,€-125.50m,2023
6574,US Sassuolo,IT1,Mapei Stadium - Città del Tricolore,+€42.72m,2023
738,Le Havre AC,FR1,Stade Océane,€-2.90m,2023
89,1.FC Union Berlin,L1,Stadion An der Alten Försterei,€-12.90m,2023
940,Celta de Vigo,ES1,Abanca Balaídos,+€3.00m,2023
1387,ACN Siena,IT1,Artemio Franchi,+-0,2012
1390,Cagliari Calcio,IT1,Unipol Domus,+€2.60m,2023
1416,Amiens SC,FR1,Stade Crédit Agricole la Licorne,+€700k,2019
1467,Göztepe,TR1,Gürsel Aksel Stadyumu,+€1.60m,2021
167,FC Augsburg,L1,WWK ARENA,+€3.45m,2023
289,Sunderland AFC,GB1,Stadium of Light,€-6.06m,2016
2921,Delfino Pescara 1936,IT1,Adriatico,+€4.60m,2016
3,1.FC Köln,L1,RheinEnergieSTADION,+€200k,2023
3840,Adana Demirspor,TR1,Yeni Adana Stadyumu,€-2.80m,2023
430,ACF Fiorentina,IT1,Artemio Franchi,+€8.70m,2023
5,AC Milan,IT1,Giuseppe Meazza,€-46.50m,2023
512,Stoke City,GB1,bet365 Stadium,+€17.00m,2017
7775,Hatayspor,TR1,Mersin Stadyumu,+€2.39m,2023
826,RC Lens,FR1,Stade Bollaert-Delelis,+€37.14m,2023
897,Deportivo de La Coruña,ES1,Abanca Riazor,€-435k,2017
11,Arsenal FC,GB1,Emirates Stadium,€-197.45m,2023
126,Caykur Rizespor,TR1,Çaykur Didi,€-1.73m,2023
1627,Catania SSD,IT1,Cibali - Angelo Massimino,+-0,2013
16795,Granada CF,ES1,Nuevo Los Cármenes,€-5.50m,2023
2239,US Cremonese,IT1,Giovanni Zini,+€5.00m,2022
252,Genoa CFC,IT1,Luigi Ferraris,€-15.80m,2023
281,Manchester City,GB1,Etihad Stadium,€-79.10m,2023
3302,UD Almería,ES1,Power Horse Stadium,+€8.10m,2023
39,1.FSV Mainz 05,L1,Mewa Arena,+€7.55m,2023
405,Aston Villa,GB1,Villa Park,€-85.10m,2023
543,Wolverhampton Wanderers,GB1,Molineux Stadium,+€44.70m,2023
60,SC Freiburg,L1,Europa-Park Stadion,+€34.30m,2023
6894,Kayseri Erciyesspor,TR1,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,+-0,2014
714,RCD Espanyol Barcelona,ES1,RCDE Stadium,+€5.50m,2022
862,Chievo Verona,IT1,Marcantonio Bentegodi,+-0,2018
8970,Frosinone Calcio,IT1,Benito Stirpe,+€6.60m,2023
12321,Girona FC,ES1,Montilivi,€-8.85m,2023
127,SC Paderborn 07,L1,Home Deluxe Arena,€-450k,2019
19,Brescia Calcio,IT1,Mario Rigamonti,+€3.65m,2019
23,Eintracht Braunschweig,L1,EINTRACHT-Stadion,€-600k,2013
33,FC Schalke 04,L1,Veltins-Arena,+€10.30m,2022
350,Sheffield United,GB1,Bramall Lane,€-12.00m,2023
472,UD Las Palmas,ES1,Estadio de Gran Canaria,€-2.90m,2023
1005,US Lecce,IT1,Ettore Giardiniero,+€5.25m,2023
1038,UC Sampdoria,IT1,Luigi Ferraris,+€1.75m,2022
