game_id,competition_id,season,round,date,home_club_id,away_club_id,home_club_goals,away_club_goals,home_club_position,away_club_position,home_club_manager_name,away_club_manager_name,stadium,attendance,referee,url,home_club_name,away_club_name,aggregate,competition_type
4072489,TR1,2022,35. Matchday,2023-05-20,2832,11688,0,3,18.0,16.0,,,Kalyon Stadyumu,,,https://www.transfermarkt.co.uk/gaziantep-fk_giresunspor/index/spielbericht/4072489,Gaziantep FK,Giresunspor,0:3,domestic_league
4077814,CL,2022,Final,2023-06-10,281,46,1,0,,,Pep Guardiola,Simone Inzaghi,Atatürk Olimpiyat Stadyum,72000.0,Szymon Marciniak,https://www.transfermarkt.co.uk/spielbericht/index/spielbericht/4077814,Manchester City,Inter Milan,1:0,international_cup
3838719,GB1,2022,28. Matchday,2023-03-18,180,148,3,3,20.0,5.0,Rubén Sellés,Antonio Conte,St Mary's Stadium,30157.0,Simon Hooper,https://www.transfermarkt.co.uk/southampton-fc_tottenham-hotspur/index/spielbericht/3838719,Southampton FC,Tottenham Hotspur,3:3,domestic_league
3839026,L1,2022,1. Matchday,2022-08-06,16,15,1,0,7.0,13.0,Edin Terzic,Gerardo Seoane,SIGNAL IDUNA PARK,81365.0,Dr. Felix Brych,https://www.transfermarkt.co.uk/borussia-dortmund_bayer-04-leverkusen/index/spielbericht/3839026,Borussia Dortmund,Bayer 04 Leverkusen,1:0,domestic_league
3839120,L1,2022,6. Matchday,2022-09-10,44,15,2,2,15.0,17.0,Sandro Schwarz,Gerardo Seoane,Olympiastadion Berlin,40643.0,Benjamin Brand,https://www.transfermarkt.co.uk/hertha-bsc_bayer-04-leverkusen/index/spielbericht/3839120,Hertha BSC,Bayer 04 Leverkusen,2:2,domestic_league
3839155,L1,2022,8. Matchday,2022-10-01,82,79,3,2,13.0,16.0,Niko Kovac,Pellegrino Matarazzo,Volkswagen Arena,24125.0,Felix Zwayer,https://www.transfermarkt.co.uk/vfl-wolfsburg_vfb-stuttgart/index/spielbericht/3839155,VfL Wolfsburg,VfB Stuttgart,3:2,domestic_league
3839353,L1,2022,20. Matchday,2023-02-11,533,15,1,3,14.0,8.0,Pellegrino Matarazzo,Xabi Alonso,PreZero Arena,20619.0,Tobias Stieler,https://www.transfermarkt.co.uk/tsg-1899-hoffenheim_bayer-04-leverkusen/index/spielbericht/3839353,TSG 1899 Hoffenheim,Bayer 04 Leverkusen,1:3,domestic_league
3839567,L1,2022,33. Matchday,2023-05-21,39,79,1,4,9.0,15.0,Bo Svensson,Sebastian Hoeneß,Mewa Arena,33305.0,Sven Jablonski,https://www.transfermarkt.co.uk/1-fsv-mainz-05_vfb-stuttgart/index/spielbericht/3839567,1.FSV Mainz 05,VfB Stuttgart,1:4,domestic_league
3840071,FR1,2022,12. Matchday,2022-10-23,3524,3911,1,3,9.0,17.0,Pascal Gastien,Bruno Grougi,Stade Gabriel-Montpied,7275.0,Jérémie Pignard,https://www.transfermarkt.co.uk/clermont-foot-63_stade-brestois-29/index/spielbericht/3840071,Clermont Foot 63,Stade Brestois 29,1:3,domestic_league
3840130,FR1,2022,18. Matchday,2023-01-11,290,415,0,5,18.0,12.0,Christophe Pélissier,Philippe Montanier,Stade de l'Abbé-Deschamps,12405.0,Florent Batta,https://www.transfermarkt.co.uk/aj-auxerre_fc-toulouse/index/spielbericht/3840130,AJ Auxerre,FC Toulouse,0:5,domestic_league
3840166,FR1,2022,21. Matchday,2023-02-01,273,667,3,0,5.0,18.0,Bruno Génésio,Mathieu Le Scornet,Roazhon Park,26176.0,Marc Bollengier,https://www.transfermarkt.co.uk/stade-rennais-fc_rc-strasbourg-alsace/index/spielbericht/3840166,Stade Rennais FC,RC Strasbourg Alsace,3:0,domestic_league
